SubjectID,StimulusType,response,RT
0,1,1,314
0,1,1,297
0,0,0,0
0,1,1,280
0,0,0,0
0,1,1,264
0,1,1,431
0,1,1,330
0,1,1,295
0,0,0,0
0,1,1,281
0,1,1,316
0,1,1,313
0,0,0,0
0,1,1,281
0,1,1,296
0,1,1,297
0,0,0,0
0,1,1,282
0,1,1,250
0,1,1,280
0,0,0,0
0,1,1,263
0,1,1,199
0,1,1,198
0,0,0,0
0,1,1,231
0,0,1,83
0,0,1,280
0,1,1,297
0,1,1,430
0,1,1,312
0,1,1,330
0,1,1,312
0,1,1,312
0,1,1,346
0,1,1,314
0,1,1,281
0,1,1,265
0,1,1,246
0,1,1,296
0,1,1,296
0,1,1,297
0,1,1,266
0,1,1,166
0,1,1,280
0,1,1,265
0,1,1,265
0,1,1,296
0,1,1,278
0,1,1,297
0,1,1,279
0,1,1,282
0,0,1,298
0,1,1,313
0,1,1,366
0,1,1,311
0,1,1,397
0,1,1,347
0,1,1,378
0,1,1,395
0,1,1,413
0,1,1,364
0,1,1,346
0,0,0,0
0,1,1,295
0,0,0,0
0,1,1,297
0,1,1,314
0,1,1,331
0,0,0,0
0,0,0,0
0,0,0,0
0,1,1,380
0,1,1,311
0,1,1,347
0,1,1,361
0,1,1,296
0,1,1,314
0,1,1,330
0,1,1,332
0,0,0,0
0,1,1,297
0,1,1,331
0,1,1,346
0,0,0,0
0,1,1,312
0,1,1,280
0,1,1,312
0,1,1,263
0,0,0,0
0,1,1,300
0,1,1,313
0,0,0,0
0,1,1,281
0,1,1,297
0,1,1,296
0,0,0,0
0,1,1,280
0,1,1,314
1,1,1,673
1,1,1,483
1,1,1,321
1,1,1,612
1,1,1,304
1,1,1,304
1,1,1,355
1,1,1,369
1,1,1,402
1,1,1,355
1,1,1,320
1,1,1,338
1,0,0,0
1,1,1,161
1,1,1,257
1,1,1,274
1,1,1,273
1,1,1,306
1,0,0,0
1,1,1,305
1,0,0,0
1,1,1,273
1,1,1,291
1,0,0,0
1,1,1,256
1,1,1,353
1,1,1,338
1,1,1,304
1,1,1,385
1,1,1,548
1,0,0,0
1,0,1,255
1,1,1,402
1,1,1,384
1,1,1,402
1,1,1,355
1,1,1,385
1,1,1,305
1,1,1,371
1,0,0,0
1,0,1,321
1,1,1,402
1,1,1,306
1,1,1,417
1,1,1,370
1,0,0,0
1,1,1,321
1,1,1,385
1,1,1,305
1,1,1,320
1,0,0,0
1,1,1,338
1,1,1,355
1,1,1,464
1,0,0,0
1,1,1,273
1,1,1,355
1,1,1,303
1,1,1,304
1,1,1,387
1,1,1,385
1,1,1,338
1,1,1,322
1,1,1,479
1,1,1,354
1,1,1,433
1,0,0,0
1,1,1,322
1,0,0,0
1,1,1,403
1,1,1,385
1,1,1,290
1,1,1,338
1,0,0,0
1,1,1,529
1,1,1,290
1,1,1,385
1,0,1,354
1,1,1,290
1,1,1,385
1,1,1,306
1,1,1,290
1,1,1,384
1,1,1,337
1,0,0,0
1,0,1,273
1,0,0,0
1,1,1,416
1,1,1,338
1,1,1,353
1,1,1,241
1,1,1,97
1,0,0,0
1,1,1,289
1,1,1,354
1,0,1,273
1,1,1,403
1,1,1,465
1,1,1,385
1,1,1,498
2,1,1,353
2,1,1,434
2,1,1,321
2,0,1,241
2,0,0,0
2,0,0,0
2,1,1,290
2,0,0,0
2,1,1,433
2,1,1,370
2,1,1,306
2,1,1,290
2,0,0,0
2,0,1,241
2,1,1,354
2,1,1,402
2,1,1,354
2,1,1,353
2,1,1,370
2,1,1,369
2,1,1,272
2,1,1,337
2,0,0,0
2,1,1,260
2,1,1,354
2,1,1,305
2,1,1,306
2,1,1,354
2,1,1,322
2,1,1,289
2,1,1,274
2,0,0,0
2,1,1,353
2,1,1,305
2,1,1,305
2,1,1,288
2,0,0,0
2,1,1,241
2,1,1,306
2,0,0,0
2,1,1,273
2,1,1,322
2,1,1,370
2,1,1,273
2,1,1,370
2,1,1,322
2,1,1,306
2,1,1,274
2,0,0,0
2,0,0,0
2,0,0,0
2,1,1,370
2,1,1,305
2,1,1,289
2,1,1,321
2,0,0,0
2,1,1,353
2,1,1,257
2,0,0,0
2,1,1,305
2,1,1,242
2,0,0,0
2,0,0,0
2,1,1,305
2,1,1,290
2,1,1,289
2,1,1,290
2,1,1,273
2,0,0,0
2,1,1,321
2,1,1,257
2,1,1,290
2,1,1,272
2,1,1,305
2,1,1,226
2,1,1,225
2,1,1,273
2,1,1,177
2,0,0,0
2,1,1,273
2,1,1,240
2,1,1,257
2,1,1,176
2,1,1,241
2,1,1,273
2,1,1,256
2,1,1,241
2,1,1,257
2,1,1,320
2,1,1,257
2,1,1,320
2,1,1,273
2,1,1,289
2,1,1,272
2,1,1,257
2,1,1,289
2,1,1,242
2,0,0,0
2,1,1,258
2,1,1,161
3,0,0,0
3,1,1,369
3,1,1,305
3,0,0,0
3,1,1,338
3,1,1,355
3,1,1,287
3,1,1,370
3,0,0,0
3,1,1,290
3,0,0,0
3,1,1,337
3,1,1,371
3,1,1,370
3,1,1,321
3,1,1,337
3,1,1,320
3,0,0,0
3,1,1,272
3,1,1,386
3,1,1,386
3,1,1,272
3,0,0,0
3,1,1,290
3,1,1,321
3,1,1,272
3,1,1,322
3,1,1,402
3,1,1,466
3,1,1,338
3,1,1,241
3,0,1,305
3,1,1,321
3,1,1,354
3,1,1,337
3,1,1,386
3,1,1,386
3,0,0,0
3,1,1,322
3,1,1,338
3,0,0,0
3,1,1,320
3,0,0,0
3,1,1,339
3,0,0,0
3,1,1,402
3,1,1,287
3,0,0,0
3,1,1,306
3,0,0,0
3,1,1,370
3,1,1,335
3,1,1,354
3,1,1,336
3,0,0,0
3,1,1,321
3,1,1,338
3,1,1,418
3,1,1,337
3,0,1,306
3,1,1,273
3,1,1,321
3,1,1,564
3,1,1,400
3,1,1,387
3,0,0,0
3,1,1,385
3,1,1,499
3,0,0,0
3,1,1,338
3,1,1,368
3,1,1,386
3,1,1,290
3,1,1,337
3,1,1,307
3,1,1,338
3,1,1,336
3,1,1,370
3,1,1,336
3,1,1,272
3,1,1,306
3,1,1,353
3,0,0,0
3,1,1,256
3,0,0,0
3,0,0,0
3,1,1,337
3,1,1,322
3,1,1,368
3,1,1,387
3,1,1,418
3,1,1,402
3,1,1,370
3,1,1,336
3,1,1,322
3,1,1,306
3,1,1,225
3,1,1,320
3,1,1,321
3,1,1,353
4,1,1,343
4,1,1,281
4,1,1,280
4,1,1,298
4,1,1,297
4,0,0,0
4,1,1,265
4,1,1,264
4,0,0,0
4,0,1,296
4,0,0,0
4,1,1,361
4,1,1,279
4,1,1,312
4,1,1,313
4,1,1,346
4,1,1,280
4,1,1,312
4,1,1,344
4,1,1,362
4,1,1,332
4,1,1,296
4,1,1,312
4,1,1,330
4,1,1,311
4,1,1,313
4,1,1,328
4,1,1,298
4,1,1,300
4,1,1,296
4,0,1,295
4,1,1,377
