SubjectID,StimulusType,response,RT,congruence
0,1,1,314,1
0,1,1,297,1
0,0,0,0,1
0,1,1,280,1
0,0,0,0,1
0,1,1,264,1
0,1,1,431,1
0,1,1,330,1
0,1,1,295,1
0,0,0,0,1
0,1,1,281,1
0,1,1,316,1
0,1,1,313,1
0,0,0,0,1
0,1,1,281,1
0,1,1,296,1
0,1,1,297,1
0,0,0,0,1
0,1,1,282,1
0,1,1,250,1
0,1,1,280,1
0,0,0,0,1
0,1,1,263,1
0,1,1,199,1
0,1,1,198,1
0,0,0,0,1
0,1,1,231,1
0,0,1,83,0
0,0,1,280,0
0,1,1,297,1
0,1,1,430,1
0,1,1,312,1
0,1,1,330,1
0,1,1,312,1
0,1,1,312,1
0,1,1,346,1
0,1,1,314,1
0,1,1,281,1
0,1,1,265,1
0,1,1,246,1
0,1,1,296,1
0,1,1,296,1
0,1,1,297,1
0,1,1,266,1
0,1,1,166,1
0,1,1,280,1
0,1,1,265,1
0,1,1,265,1
0,1,1,296,1
0,1,1,278,1
0,1,1,297,1
0,1,1,279,1
0,1,1,282,1
0,0,1,298,0
0,1,1,313,1
0,1,1,366,1
0,1,1,311,1
0,1,1,397,1
0,1,1,347,1
0,1,1,378,1
0,1,1,395,1
0,1,1,413,1
0,1,1,364,1
0,1,1,346,1
0,0,0,0,1
0,1,1,295,1
0,0,0,0,1
0,1,1,297,1
0,1,1,314,1
0,1,1,331,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
0,1,1,380,1
0,1,1,311,1
0,1,1,347,1
0,1,1,361,1
0,1,1,296,1
0,1,1,314,1
0,1,1,330,1
0,1,1,332,1
0,0,0,0,1
0,1,1,297,1
0,1,1,331,1
0,1,1,346,1
0,0,0,0,1
0,1,1,312,1
0,1,1,280,1
0,1,1,312,1
0,1,1,263,1
0,0,0,0,1
0,1,1,300,1
0,1,1,313,1
0,0,0,0,1
0,1,1,281,1
0,1,1,297,1
0,1,1,296,1
0,0,0,0,1
0,1,1,280,1
0,1,1,314,1
1,1,1,673,1
1,1,1,483,1
1,1,1,321,1
1,1,1,612,1
1,1,1,304,1
1,1,1,304,1
1,1,1,355,1
1,1,1,369,1
1,1,1,402,1
1,1,1,355,1
1,1,1,320,1
1,1,1,338,1
1,0,0,0,1
1,1,1,161,1
1,1,1,257,1
